name,num_laps,number,lap,measurement,lap_split,rest_time
Guillaume Calmettes,54,1,1,7:31:30,50:08,09:51
Guillaume Calmettes,54,1,2,8:31:25,50:03,09:56
Guillaume Calmettes,54,1,3,9:31:56,50:33,09:26
Guillaume Calmettes,54,1,4,10:31:34,50:12,09:47
Guillaume Calmettes,54,1,5,11:31:35,50:13,09:46
Guillaume Calmettes,54,1,6,12:31:11,49:49,10:10
Guillaume Calmettes,54,1,7,13:30:52,49:29,10:30
Guillaume Calmettes,54,1,8,14:30:35,49:12,10:47
Guillaume Calmettes,54,1,9,15:30:53,49:30,10:29
Guillaume Calmettes,54,1,10,16:30:32,49:09,10:50
Guillaume Calmettes,54,1,11,17:31:15,49:53,10:06
Guillaume Calmettes,54,1,12,18:29:52,48:29,11:30
Guillaume Calmettes,54,1,13,19:22:40,41:18,18:41
Guillaume Calmettes,54,1,14,20:25:18,43:55,16:04
Guillaume Calmettes,54,1,15,21:24:46,43:23,16:36
Guillaume Calmettes,54,1,16,22:25:32,44:09,15:50
Guillaume Calmettes,54,1,17,23:25:17,43:55,16:04
Guillaume Calmettes,54,1,18,24:24:58,43:36,16:23
Guillaume Calmettes,54,1,19,25:26:57,45:35,14:24
Guillaume Calmettes,54,1,20,26:27:01,45:39,14:20
Guillaume Calmettes,54,1,21,27:28:09,46:46,13:13
Guillaume Calmettes,54,1,22,28:28:51,47:28,12:31
Guillaume Calmettes,54,1,23,29:28:27,47:05,12:54
Guillaume Calmettes,54,1,24,30:26:35,45:12,14:47
Guillaume Calmettes,54,1,25,31:31:40,50:18,09:41
Guillaume Calmettes,54,1,26,32:30:33,49:11,10:48
Guillaume Calmettes,54,1,27,33:30:47,49:24,10:35
Guillaume Calmettes,54,1,28,34:30:55,49:32,10:27
Guillaume Calmettes,54,1,29,35:31:37,50:14,09:45
Guillaume Calmettes,54,1,30,36:32:05,50:42,09:17
Guillaume Calmettes,54,1,31,37:30:21,48:59,11:00
Guillaume Calmettes,54,1,32,38:32:40,51:18,08:41
Guillaume Calmettes,54,1,33,39:30:15,48:53,11:06
Guillaume Calmettes,54,1,34,40:33:59,52:36,07:23
Guillaume Calmettes,54,1,35,41:33:17,51:54,08:05
Guillaume Calmettes,54,1,36,42:37:00,55:37,04:22
Guillaume Calmettes,54,1,37,43:29:20,47:58,12:01
Guillaume Calmettes,54,1,38,44:28:45,47:22,12:37
Guillaume Calmettes,54,1,39,45:31:29,50:06,09:53
Guillaume Calmettes,54,1,40,46:30:37,49:14,10:45
Guillaume Calmettes,54,1,41,47:28:04,46:41,13:18
Guillaume Calmettes,54,1,42,48:30:12,48:49,11:10
Guillaume Calmettes,54,1,43,49:27:37,46:14,13:45
Guillaume Calmettes,54,1,44,50:29:38,48:15,11:44
Guillaume Calmettes,54,1,45,51:29:33,48:11,11:48
Guillaume Calmettes,54,1,46,52:27:47,46:24,13:35
Guillaume Calmettes,54,1,47,53:28:38,47:16,12:43
Guillaume Calmettes,54,1,48,54:30:30,49:07,10:52
Guillaume Calmettes,54,1,49,55:31:44,50:21,09:38
Guillaume Calmettes,54,1,50,56:35:53,54:30,05:29
Guillaume Calmettes,54,1,51,57:39:47,58:24,01:35
Guillaume Calmettes,54,1,52,58:41:04,59:42,00:17
Guillaume Calmettes,54,1,53,59:30:07,48:44,11:15
Guillaume Calmettes,54,1,54,60:34:36,53:13,06:46
Dustin Mitchell,28,2,1,7:25:13,43:51,16:08
Dustin Mitchell,28,2,2,8:28:49,47:27,12:32
Dustin Mitchell,28,2,3,9:24:28,43:05,16:54
Dustin Mitchell,28,2,4,10:25:00,43:38,16:21
Dustin Mitchell,28,2,5,11:25:15,43:53,16:06
Dustin Mitchell,28,2,6,12:24:21,42:59,17:00
Dustin Mitchell,28,2,7,13:30:00,48:37,11:22
Dustin Mitchell,28,2,8,14:29:11,47:49,12:10
Dustin Mitchell,28,2,9,15:29:25,48:03,11:56
Dustin Mitchell,28,2,10,16:30:30,49:07,10:52
Dustin Mitchell,28,2,11,17:30:11,48:49,11:10
Dustin Mitchell,28,2,12,18:30:08,48:45,11:14
Dustin Mitchell,28,2,13,19:22:20,40:58,19:01
Dustin Mitchell,28,2,14,20:24:23,43:01,16:58
Dustin Mitchell,28,2,15,21:27:00,45:37,14:22
Dustin Mitchell,28,2,16,22:30:47,49:24,10:35
Dustin Mitchell,28,2,17,23:30:16,48:53,11:06
Dustin Mitchell,28,2,18,24:25:29,44:06,15:53
Dustin Mitchell,28,2,19,25:26:55,45:33,14:26
Dustin Mitchell,28,2,20,26:23:37,42:15,17:44
Dustin Mitchell,28,2,21,27:27:50,46:27,13:32
Dustin Mitchell,28,2,22,28:28:21,46:58,13:01
Dustin Mitchell,28,2,23,29:27:55,46:33,13:26
Dustin Mitchell,28,2,24,30:30:02,48:39,11:20
Dustin Mitchell,28,2,25,31:30:57,49:34,10:25
Dustin Mitchell,28,2,26,32:35:09,53:47,06:12
Dustin Mitchell,28,2,27,33:35:53,54:30,05:29
Dustin Mitchell,28,2,28,34:33:46,52:23,07:36
Cassie Scallon,28,3,1,7:31:42,50:19,09:40
Cassie Scallon,28,3,2,8:35:26,54:03,05:56
Cassie Scallon,28,3,3,9:32:47,51:25,08:34
Cassie Scallon,28,3,4,10:35:12,53:49,06:10
Cassie Scallon,28,3,5,11:32:56,51:33,08:26
Cassie Scallon,28,3,6,12:32:41,51:19,08:40
Cassie Scallon,28,3,7,13:32:16,50:54,09:05
Cassie Scallon,28,3,8,14:33:49,52:26,07:33
Cassie Scallon,28,3,9,15:34:50,53:28,06:31
Cassie Scallon,28,3,10,16:31:25,50:02,09:57
Cassie Scallon,28,3,11,17:33:25,52:02,07:57
Cassie Scallon,28,3,12,18:31:55,50:33,09:26
Cassie Scallon,28,3,13,19:24:11,42:49,17:10
Cassie Scallon,28,3,14,20:30:19,48:56,11:03
Cassie Scallon,28,3,15,21:28:37,47:14,12:45
Cassie Scallon,28,3,16,22:26:51,45:28,14:31
Cassie Scallon,28,3,17,23:27:45,46:23,13:36
Cassie Scallon,28,3,18,24:28:41,47:18,12:41
Cassie Scallon,28,3,19,25:31:01,49:38,10:21
Cassie Scallon,28,3,20,26:29:12,47:49,12:10
Cassie Scallon,28,3,21,27:29:02,47:40,12:19
Cassie Scallon,28,3,22,28:35:35,54:13,05:46
Cassie Scallon,28,3,23,29:28:08,46:45,13:14
Cassie Scallon,28,3,24,30:30:07,48:44,11:15
Cassie Scallon,28,3,25,31:34:24,53:02,06:57
Cassie Scallon,28,3,26,32:35:42,54:19,05:40
Cassie Scallon,28,3,27,33:37:57,56:35,03:24
Cassie Scallon,28,3,28,34:27:01,45:39,14:20
Courtney Dauwalter,67,4,1,7:31:31,50:08,09:51
