Rank,Place,Bib,Name,Gender,Age,City,State,Last loop,Fast loop,Avg loop,Slow loop,Laps,Miles,Race Time
1,1.,25,Johan Steene,M,44,Stockholm,SWE,48:35,41:52,48:51,56:17,68.0,283.335,55:22:49
2,DNF,4,Courtney Dauwalter,F,33,Golden,CO,53:28,43:40,48:54,53:28,67.0,279.168,54:37:22
3,DNF,40,Gavin Woody,M,41,Bellevue,WA,55:22,44:20,51:10,55:30,65.0,270.835,55:26:04
4,DNF,47,Greg Salvesen,M,32,Santa Barbara,CA,59:33,45:09,52:55,59:33,56.0,233.335,49:24:15
5,DNF,1,Guillaume Calmettes,M,34,Los Angeles,CA,53:13,41:18,48:58,59:42,54.0,225.00099999999998,44:04:17
6,DNF,13,Maggie Guterl,F,38,Chadds Ford,PA,49:58,43:24,49:36,54:36,44.0,183.334,36:22:35
7,DNF,24,Joe Fejes,M,52,Columbia,SC,50:02,37:15,50:19,57:05,44.0,183.334,36:54:35
8,DNF,28,David Johnston,M,48,Willow,AK,51:08,41:48,51:04,56:04,43.0,179.168,36:35:58
9,DNF,15,Andres Villagran,M,34,Ecuador,ECU,51:24,39:07,47:05,54:50,38.0,158.334,29:49:17
10,DNF,74,Peter Cromie,M,46,Limavady,GBR,51:22,39:40,48:55,55:31,38.0,158.334,30:59:13
11,DNF,6,Shawn Webber,M,44,Gainesville,FL,55:31,40:24,48:59,55:31,36.0,150.001,29:23:48
12,DNF,35,Adam Rood,M,38,Louisville,KY,58:40,45:19,50:46,58:40,32.0,133.334,27:04:32
13,DNF,21,Andy Pearson,M,34,Santa Monica,CA,54:17,41:17,48:05,54:17,30.0,125.001,24:02:42
14,DNF,29,Slade McCormick,M,51,Ponoka,AB,54:57,41:18,49:34,54:57,30.0,125.001,24:47:18
15,DNF,34,Marcy Beard,F,49,San Jose,CA,57:47,51:12,54:59,58:10,30.0,125.001,27:29:47
16,DNF,56,Will Thomas,M,40,Sequim,WA,59:32,51:52,56:04,59:32,30.0,125.001,28:02:07
17,DNF,31,Padraig Mullins,M,36,Cambridge,MA,56:31,44:16,50:47,59:10,29.0,120.834,24:32:53
18,DNF,2,Dustin Mitchell,M,23,Lexington,KY,52:23,40:58,46:57,54:30,28.0,116.667,21:54:54
19,DNF,3,Cassie Scallon,F,36,Santa Barbara,CA,45:39,42:49,50:09,56:35,28.0,116.667,23:24:38
20,DNF,52,Daniel Shamburg,M,38,Encinitas,CA,53:13,47:04,50:17,53:24,28.0,116.667,23:28:06
21,DNF,51,Anatoly Ross,M,54,South Lancaster,ON,56:50,49:33,52:43,56:50,28.0,116.667,24:36:18
22,DNF,32,Andy Emerson,M,49,Columbia,MO,56:22,41:22,48:44,56:22,27.0,112.5,21:55:52
23,DNF,43,Chris Robbins,M,33,Eagan,MN,55:08,43:29,49:36,55:08,27.0,112.5,22:19:36
24,DNF,11,Jasmine Chiaramonte,F,42,Meadowbrook,PA,55:51,43:53,49:55,55:51,27.0,112.5,22:28:04
25,DNF,57,Brian Trinkle,M,56,Cumming,GA,56:17,45:40,52:14,57:56,27.0,112.5,23:30:26
26,DNF,53,Casey Thivierge,M,44,Belle River,ON,55:03,45:06,51:11,57:20,26.0,108.334,22:10:50
27,DNF,5,Alicia Rich,F,32,Boston,MA,40:48,40:48,48:17,52:46,25.0,104.167,20:07:23
28,DNF,30,Sean O'Connor,M,39,Phillipsburg,NJ,57:03,40:52,48:34,57:03,25.0,104.167,20:14:14
29,DNF,39,Nathan Marti,M,42,Courtland,MN,56:04,49:01,54:20,57:43,25.0,104.167,22:38:20
30,DNF,70,Josep Barberillo,M,34,La Garriga,ESP,58:54,43:22,54:26,58:54,25.0,104.167,22:41:04
31,DNF,19,Kat Schuller,F,31,Decatur,GA,47:43,39:52,46:15,49:54,24.0,100.0,18:30:09
32,DNF,26,Daryl Flacks,M,47,Windsor,ON,54:52,44:16,51:21,54:52,24.0,100.0,20:32:31
33,DNF,42,Michael Anderson,M,40,Winnipeg,MB,50:09,47:36,52:43,55:20,24.0,100.0,21:05:15
34,DNF,38,Anne Lang,F,34,Gahanna,OH,54:02,49:00,52:59,56:02,24.0,100.0,21:11:55
35,DNF,9,Jerry Hughes,M,38,Victoria,BC,52:15,41:36,46:24,52:15,22.0,91.667,17:00:50
36,DNF,7,David Lantz,M,29,Leola,PA,55:51,42:51,48:42,55:51,20.0,83.334,16:14:15
37,DNF,16,Nikolay Nachev,M,41,Redmond,WA,56:31,45:31,53:04,57:28,19.0,79.167,16:48:30
38,DNF,8,Brian Grant,M,42,London,ON,49:31,37:16,47:54,54:30,18.0,75.0,14:22:29
39,DNF,50,Shenoa Creer,F,42,Decatur,GA,57:04,47:26,52:33,57:04,18.0,75.0,15:45:59
40,DNF,10,Marylou Corino,F,40,Georgetown,ON,57:17,47:32,53:06,57:17,18.0,75.0,15:55:58
41,DNF,36,Kelley Fejes,F,44,Columbia,SC,54:50,50:43,54:13,57:05,18.0,75.0,16:15:59
42,DNF,58,Derek Tinnin,M,51,Lebanon,OH,52:59,50:35,53:50,58:23,17.0,70.833,15:15:22
43,DNF,41,Jeremy Ebel,M,34,Lafayette,CO,57:46,54:30,57:21,58:46,17.0,70.833,16:15:13
44,DNF,64,Ben Yancey,M,45,Bell Buckle,TN,59:20,54:08,57:38,59:20,17.0,70.833,16:19:53
45,DNF,49,Ricky Haro,M,40,Peoria,AZ,56:05,47:00,52:55,56:05,16.0,66.667,14:06:44
46,DNF,22,Jeremy Kaiding,M,42,Shelbyville,TN,51:22,47:02,50:13,51:42,15.0,62.5,12:33:16
47,DNF,18,Marc Laveson,M,34,Bainbridge Island,WA,59:50,47:23,51:05,59:50,15.0,62.5,12:46:24
48,DNF,23,Kelly Hutchins,M,47,Paducah,KY,38:20,38:20,47:32,50:28,13.0,54.167,10:18:07
49,DNF,37,Mark Lattanzi,M,52,Blacksburg,VA,43:43,43:43,50:22,55:02,13.0,54.167,10:54:56
50,DNF,60,Jerry Palmer,M,50,Houston,TX,55:29,48:51,51:59,55:29,13.0,54.167,11:15:53
51,DNF,48,Deano Montreuil,M,50,Suwanee,GA,57:44,51:17,54:34,58:30,13.0,54.167,11:49:32
52,DNF,44,Nick Vermeulen,M,39,Sodus Point,NY,54:32,48:20,51:08,54:32,12.0,50.0,10:13:43
53,DNF,46,Gregory Burger,M,52,Lecompton,KS,59:24,52:58,58:21,59:25,12.0,50.0,11:40:19
54,DNF,20,Regina Sooey,F,47,Jacksonville,FL,54:25,47:11,50:37,54:25,11.0,45.833,9:16:56
55,DNF,27,Erika Boody,F,35,London,ON,53:50,50:23,52:51,55:03,11.0,45.833,9:41:22
56,DNF,75,Jeff Stafford,M,61,Clarksville,TN,56:05,48:11,51:04,56:05,10.0,41.667,8:30:45
57,DNF,55,Glenn Kasper,M,55,Meridian,MS,56:59,49:09,52:21,58:39,10.0,41.667,8:43:36
58,DNF,62,Rodney Coombs,M,53,Brooklyn,NY,59:13,55:48,57:08,59:13,9.0,37.5,8:34:20
59,DNF,54,Allan Benjamin,M,62,Columbia,MO,58:44,53:49,55:34,58:44,8.0,33.333,7:24:37
60,DNF,14,Heidi Kumm,F,32,Silverthorne,CO,58:38,56:58,58:05,58:39,8.0,33.333,7:44:40
61,DNF,67,Chris Hasselback,M,46,Castle Rock,CO,57:04,54:45,56:31,57:18,7.0,29.166,6:35:41
